Name,Setpoint,Feedback,Time Stamp,Maxforce,Rendering,Time Interval,Rendering Type
M1_3,40.0,0.3333333333333333,2024-10-11 19:24:31,0.3,3.0,32.0,Stiffness
M1_3,32.0,0.0,2024-10-11 19:25:11,0.0,0.0,19.0,"Impedence, Stiffness"
M1_3,40.0,0.6666666666666666,2024-10-11 19:25:30,0.5,4.0,19.0,Stiffness
M1_3,24.0,0.0666666666666666,2024-10-11 19:26:23,0.1,2.0,28.0,Stiffness
M1_3,24.0,0.8666666666666667,2024-10-11 19:28:19,1.0,5.0,27.0,Stiffness
M1_3,40.0,0.0,2024-10-11 19:28:36,0.0,0.0,17.0,"Impedence, Stiffness"
M1_3,24.0,0.0,2024-10-11 19:28:53,0.0,0.0,17.0,"Impedence, Stiffness"
M1_3,24.0,0.8,2024-10-11 19:29:38,0.5,4.0,22.0,Stiffness
M1_3,32.0,0.8,2024-10-11 19:29:57,0.5,4.0,19.0,Stiffness
M1_3,32.0,0.1333333333333333,2024-10-11 19:30:19,0.1,2.0,22.0,Stiffness
M1_3,24.0,0.4666666666666667,2024-10-11 19:30:48,0.3,3.0,29.0,Stiffness
M1_3,32.0,1.0,2024-10-11 19:31:08,1.0,5.0,20.0,Stiffness
M1_3,32.0,0.3333333333333333,2024-10-11 19:31:31,0.3,3.0,23.0,Stiffness
M2_1,32.0,0.3670886075949367,2024-10-11 19:56:05,0.1,2.0,0.0,Stiffness
M2_1,40.0,0.0,2024-10-11 19:56:48,0.0,0.0,20.0,"Impedence, Stiffness"
M2_1,32.0,0.8734177215189873,2024-10-11 19:57:28,0.3,3.0,19.0,Stiffness
M2_1,40.0,0.240506329113924,2024-10-11 19:57:49,0.1,2.0,21.0,Stiffness
M2_1,40.0,0.1139240506329113,2024-10-11 19:58:28,0.3,3.0,21.0,Stiffness
M2_1,40.0,0.620253164556962,2024-10-11 19:59:32,1.0,5.0,23.0,Stiffness
M2_1,24.0,0.9367088607594936,2024-10-11 20:00:36,0.3,3.0,22.0,Stiffness
M2_1,24.0,0.0,2024-10-11 20:00:55,0.0,0.0,19.0,"Impedence, Stiffness"
M2_1,32.0,0.1772151898734177,2024-10-11 20:02:20,0.5,4.0,23.0,Stiffness
M2_1,24.0,0.3670886075949367,2024-10-11 20:02:41,1.0,5.0,21.0,Stiffness
M2_1,32.0,0.6835443037974683,2024-10-11 20:03:04,1.0,5.0,23.0,Stiffness
M2_1,24.0,0.3670886075949367,2024-10-11 20:04:10,0.1,2.0,23.0,Stiffness
M2_1,32.0,0.050632911392405,2024-10-11 20:04:34,0.0,0.0,24.0,"Impedence, Stiffness"
M2_1,24.0,1.0,2024-10-11 20:04:53,0.5,4.0,19.0,Stiffness
M2_1,40.0,0.8734177215189873,2024-10-11 20:05:20,0.5,4.0,27.0,Stiffness
M2_2,40.0,0.1772151898734177,2024-10-11 20:07:04,0.0,0.0,0.0,"Impedence, Stiffness"
M2_2,24.0,0.9367088607594936,2024-10-11 20:07:28,1.0,5.0,24.0,Stiffness
M2_2,32.0,0.5569620253164557,2024-10-11 20:09:20,0.5,4.0,23.0,Stiffness
M2_2,40.0,0.620253164556962,2024-10-11 20:10:07,0.3,3.0,24.0,Stiffness
M2_2,24.0,0.8734177215189873,2024-10-11 20:10:27,0.1,2.0,20.0,Stiffness
M2_2,32.0,0.7468354430379747,2024-10-11 20:10:48,0.3,3.0,21.0,Stiffness
M2_2,24.0,0.430379746835443,2024-10-11 20:11:33,0.3,3.0,23.0,Stiffness
M2_2,32.0,0.1772151898734177,2024-10-11 20:11:54,0.1,2.0,21.0,Stiffness
M2_2,40.0,0.7468354430379747,2024-10-11 20:12:15,0.1,2.0,21.0,Stiffness
M2_2,32.0,1.0,2024-10-11 20:12:37,1.0,5.0,22.0,Stiffness
M2_2,40.0,0.6835443037974683,2024-10-11 20:13:03,1.0,5.0,26.0,Stiffness
M2_2,24.0,0.0,2024-10-11 20:13:24,0.0,0.0,21.0,"Impedence, Stiffness"
M2_2,24.0,0.7468354430379747,2024-10-11 20:14:28,0.5,4.0,20.0,Stiffness
M2_2,32.0,0.3037974683544304,2024-10-11 20:15:08,0.0,0.0,19.0,"Impedence, Stiffness"
M2_2,40.0,0.6835443037974683,2024-10-11 20:15:55,0.5,4.0,25.0,Stiffness
M2_3,24.0,0.0526315789473684,2024-10-11 20:19:21,0.0,0.0,0.0,"Impedence, Stiffness"
M2_3,32.0,1.0,2024-10-11 20:20:20,0.5,4.0,20.0,Stiffness
M2_3,40.0,0.6842105263157895,2024-10-11 20:21:00,0.5,4.0,21.0,Stiffness
M2_3,40.0,0.5789473684210527,2024-10-11 20:21:23,0.3,3.0,23.0,Stiffness
M2_3,24.0,0.6842105263157895,2024-10-11 20:21:43,1.0,5.0,20.0,Stiffness
M2_3,32.0,0.3157894736842105,2024-10-11 20:22:01,1.0,5.0,18.0,Stiffness
M2_3,32.0,0.3684210526315789,2024-10-11 20:22:45,0.3,3.0,22.0,Stiffness
M2_3,40.0,0.0,2024-10-11 20:23:02,0.0,0.0,17.0,"Impedence, Stiffness"
M2_3,24.0,0.7894736842105263,2024-10-11 20:23:48,0.3,3.0,25.0,Stiffness
M2_3,40.0,0.8947368421052632,2024-10-11 20:24:31,1.0,5.0,20.0,Stiffness
M2_3,24.0,0.7894736842105263,2024-10-11 20:24:53,0.5,4.0,22.0,Stiffness
M2_3,32.0,0.4736842105263157,2024-10-11 20:25:12,0.1,2.0,19.0,Stiffness
M2_3,24.0,0.4736842105263157,2024-10-11 20:25:51,0.1,2.0,20.0,Stiffness
M2_3,32.0,0.0,2024-10-11 20:27:37,0.0,0.0,19.0,"Impedence, Stiffness"
M2_3,40.0,0.7368421052631579,2024-10-11 20:28:17,0.1,2.0,20.0,Stiffness
M3_1,40.0,0.8888888888888888,2024-10-12 22:17:06,1.0,5.0,0.0,Stiffness
M3_1,40.0,0.2222222222222222,2024-10-12 22:17:50,0.1,2.0,23.0,Stiffness
M3_1,24.0,0.7777777777777778,2024-10-12 22:18:43,0.5,4.0,25.0,Stiffness
M3_1,32.0,0.8888888888888888,2024-10-12 22:19:54,1.0,5.0,20.0,Stiffness
M3_1,32.0,0.4444444444444444,2024-10-12 22:20:15,0.3,3.0,21.0,Stiffness
M3_1,24.0,0.1111111111111111,2024-10-12 22:20:37,0.1,2.0,22.0,Stiffness
M3_1,24.0,1.0,2024-10-12 22:21:33,1.0,5.0,26.0,Stiffness
M3_1,40.0,0.7777777777777778,2024-10-12 22:21:57,0.5,4.0,24.0,Stiffness
M3_1,40.0,0.5555555555555556,2024-10-12 22:22:21,0.3,3.0,24.0,Stiffness
M3_1,40.0,0.0,2024-10-12 22:23:07,0.0,0.0,20.0,"Impedence, Stiffness"
M3_1,24.0,0.4444444444444444,2024-10-12 22:23:30,0.3,3.0,23.0,Stiffness
M3_1,32.0,0.6666666666666666,2024-10-12 22:23:57,0.5,4.0,27.0,Stiffness
M3_1,32.0,0.0,2024-10-12 22:24:51,0.0,0.0,24.0,"Impedence, Stiffness"
M3_1,24.0,0.0,2024-10-12 22:25:21,0.0,0.0,30.0,"Impedence, Stiffness"
M3_1,32.0,0.2222222222222222,2024-10-12 22:27:17,0.1,2.0,26.0,Stiffness
M3_2,32.0,0.0,2024-10-12 22:29:59,0.0,0.0,18.0,"Impedence, Stiffness"
M3_2,32.0,0.7,2024-10-12 22:30:45,0.5,4.0,22.0,Stiffness
M3_2,40.0,0.6,2024-10-12 22:31:59,0.3,3.0,21.0,Stiffness
M3_2,24.0,0.4,2024-10-12 22:32:44,0.3,3.0,21.0,Stiffness
M3_2,24.0,0.3,2024-10-12 22:33:04,0.1,2.0,20.0,Stiffness
M3_2,32.0,1.0,2024-10-12 22:34:36,1.0,5.0,29.0,Stiffness
M3_2,40.0,0.2,2024-10-12 22:35:00,0.1,2.0,24.0,Stiffness
M3_2,32.0,0.6,2024-10-12 22:35:46,0.3,3.0,25.0,Stiffness
M3_2,32.0,0.2,2024-10-12 22:36:06,0.1,2.0,20.0,Stiffness
M3_2,40.0,0.0,2024-10-12 22:36:26,0.0,0.0,20.0,"Impedence, Stiffness"
M3_2,40.0,0.9,2024-10-12 22:36:55,1.0,5.0,29.0,Stiffness
M3_2,24.0,0.9,2024-10-12 22:37:24,1.0,5.0,29.0,Stiffness
M3_2,24.0,0.7,2024-10-12 22:37:47,0.5,4.0,23.0,Stiffness
M3_2,40.0,0.6,2024-10-12 22:38:12,0.5,4.0,25.0,Stiffness
M3_2,24.0,0.0,2024-10-12 22:39:14,0.0,0.0,17.0,"Impedence, Stiffness"
M3_3,40.0,0.9,2024-10-12 22:43:51,1.0,5.0,0.0,Stiffness
M3_3,32.0,0.6,2024-10-12 22:44:15,0.3,3.0,24.0,Stiffness
M3_3,40.0,0.5,2024-10-12 22:44:47,0.3,3.0,32.0,Stiffness
M3_3,24.0,0.2,2024-10-12 22:45:13,0.1,2.0,26.0,Stiffness
M3_3,40.0,0.2,2024-10-12 22:45:58,0.1,2.0,24.0,Stiffness
M3_3,32.0,0.0,2024-10-12 22:46:14,0.0,0.0,16.0,"Impedence, Stiffness"
M3_3,24.0,0.8,2024-10-12 22:48:42,1.0,5.0,23.0,Stiffness
M3_3,24.0,0.6,2024-10-12 22:49:05,0.5,4.0,23.0,Stiffness
M3_3,40.0,0.6,2024-10-12 22:50:32,0.5,4.0,20.0,Stiffness
M3_3,40.0,0.0,2024-10-12 22:51:35,0.0,0.0,18.0,"Impedence, Stiffness"
M3_3,32.0,1.0,2024-10-12 22:51:56,1.0,5.0,21.0,Stiffness
M3_3,24.0,0.0,2024-10-12 22:52:16,0.0,0.0,20.0,"Impedence, Stiffness"
M3_3,32.0,0.7,2024-10-12 22:52:39,0.5,4.0,23.0,Stiffness
M3_3,32.0,0.2,2024-10-12 22:53:26,0.1,2.0,22.0,Stiffness
M3_3,24.0,0.5,2024-10-12 22:53:54,0.3,3.0,28.0,Stiffness
